time,row,col,demand
392,2,7,7
580,4,7,186
719,0,0,69
42,7,3,0
465,6,7,0
681,6,1,0
69,0,2,39
31,0,3,0
11,7,2,0
301,7,6,92
231,4,2,0
649,2,3,141
477,4,7,13
128,2,6,17
473,2,5,146
545,2,7,129
678,7,6,12
720,5,5,118
270,5,3,0
232,5,7,13
175,7,7,0
146,4,6,11
508,4,5,91
497,3,4,137
693,7,0,0
265,0,4,32
12,6,1,0
247,4,3,9
713,3,0,0
208,7,0,0
399,7,3,0
696,0,4,69
401,0,7,108
667,4,7,153
566,0,2,58
281,0,4,32
205,5,0,0
430,1,4,55
435,6,6,8
341,2,0,0
453,2,0,0
634,7,4,0
701,5,0,0
610,5,7,0
13,7,7,5
218,7,7,5
681,2,6,0
377,6,3,0
714,0,7,35
331,7,5,0
667,7,5,0
681,6,3,33
239,5,7,21
585,0,7,17
85,1,6,249
557,7,6,0
86,3,7,211
529,4,4,89
147,3,0,0
368,4,1,0
329,4,6,77
574,2,1,10
655,2,1,0
667,3,1,0
49,3,0,0
556,4,6,52
717,5,0,0
321,4,3,0
690,7,6,0
410,1,3,82
74,0,6,10
544,7,0,0
63,6,1,3
667,4,4,82
74,0,7,19
660,1,3,71
282,4,7,9
414,2,0,0
386,2,2,48
559,1,5,0
441,0,1,0
369,6,7,0
134,2,5,111
15,1,1,3
60,0,4,135
25,4,6,23
566,6,6,16
509,5,4,29
214,4,0,0
104,1,6,4
524,3,5,161
675,7,6,12
262,4,6,164
75,0,7,12
181,2,1,0
463,7,2,0
252,6,3,0
2,1,4,3
223,1,0,0
217,3,3,26
120,4,4,42
145,3,3,18
89,2,1,32
604,5,3,0
304,1,6,79
182,4,6,15
374,4,4,92
49,1,7,24
138,1,7,76
626,3,3,60
673,3,4,86
340,4,3,108
117,1,1,10
216,3,6,85
388,5,2,23
220,2,3,8
345,1,1,0
520,2,2,53
418,2,3,0
689,6,4,0
41,2,0,3
706,2,3,78
611,6,5,11
122,1,1,4
173,5,6,0
13,1,5,263
635,5,5,11
571,5,3,135
153,4,4,176
379,6,7,35
478,7,1,0
466,6,1,0
501,3,0,0
469,7,2,0
334,1,7,139
674,1,1,0
365,7,6,7
441,1,4,8
487,3,6,8
557,4,0,0
235,7,0,0
12,0,4,65
379,0,6,177
430,6,2,39
706,6,2,0
304,3,2,34
652,7,5,20
640,4,2,0
377,6,6,0
137,6,6,70
520,1,7,105
7,7,4,0
240,3,2,9
727,1,6,2346
722,5,5,517
359,3,7,60
129,2,2,76
169,1,0,0
712,1,0,0
686,1,3,0
432,2,3,124
567,0,3,184
727,6,7,413
34,7,2,0
384,5,7,30
344,3,3,10
322,7,1,0
545,0,4,89
5,4,7,0
239,4,3,85
127,5,2,4
228,6,4,0
71,4,0,0
333,4,4,61
720,1,1,0
90,2,5,73
121,0,5,39
255,3,5,84
71,7,3,0
5,1,2,0
392,6,3,0
98,4,3,143
136,1,4,28
119,0,4,54
211,6,6,33
326,6,1,0
311,3,2,34
36,0,0,11
642,7,2,11
137,1,0,0
443,6,2,0
148,6,7,0
677,2,4,33
616,5,1,0
417,3,6,0
312,3,2,16
728,6,3,23
547,0,4,144
524,6,0,0
160,6,1,0
558,5,7,16
672,4,3,416
183,6,1,0
200,3,7,0
380,1,2,142
278,6,7,5
671,4,5,274
694,1,5,214
253,2,4,151
256,0,2,17
365,1,2,28
183,4,4,12
332,7,4,0
235,3,0,13
265,5,6,5
580,5,2,10
421,1,3,101
570,3,0,0
720,7,2,0
72,4,6,38
385,5,0,0
619,7,6,0
221,6,0,0
663,2,7,470
468,2,3,48
163,1,5,727
302,6,4,30
207,7,0,0
709,6,3,13
268,3,5,65
667,5,1,20
674,7,4,12
71,4,7,24
101,3,6,4
335,6,0,0
66,2,1,12
536,4,6,0
591,7,0,0
382,2,3,210
155,5,7,242
140,2,6,1348
335,1,4,71
558,4,3,135
311,2,4,83
10,6,4,0
674,5,5,86
529,4,6,175
529,2,7,104
155,5,2,0
446,0,6,25
568,4,0,0
635,7,6,0
523,3,2,0
438,6,2,0
433,3,2,33
179,0,0,0
482,0,6,203
514,4,2,0
518,2,0,0
177,6,4,0
92,7,7,41
491,3,3,14
441,7,6,0
311,4,5,117
450,5,6,13
403,1,0,18
248,7,4,0
285,4,6,32
556,6,6,0
399,3,4,108
217,3,1,0
509,0,0,0
508,0,4,76
281,5,7,18
631,1,0,0
592,4,6,88
326,7,4,0
714,3,4,56
554,3,7,110
52,3,5,0
29,6,7,0
425,0,5,39
483,2,4,14
515,7,7,0
147,4,1,0
321,3,6,6
172,4,6,4
200,5,3,0
2,0,0,0
194,7,1,0
557,0,1,0
526,4,7,99
452,2,3,45
407,6,6,18
523,2,6,252
208,2,4,154
9,0,2,79
479,3,6,393
513,4,4,0
167,1,3,62
314,7,5,10
190,3,4,27
397,2,7,83
612,6,4,0
23,7,6,0
220,6,3,5
533,0,3,55
696,6,5,22
532,6,3,0
707,7,5,13
178,0,0,0
146,6,3,0
98,6,7,27
207,0,7,53
371,2,1,0
384,4,1,23
397,0,2,78
293,7,1,0
684,0,7,66
130,1,4,80
589,4,2,0
438,2,4,45
641,3,3,78
109,3,7,13
232,3,2,0
542,5,3,15
185,6,3,0
673,6,2,0
346,5,1,0
118,6,3,4
724,7,0,0
352,2,5,125
383,2,7,63
190,3,6,50
502,2,1,8
102,3,3,0
538,3,6,9
372,4,6,46
208,6,7,8
293,4,5,43
417,7,7,0
197,0,2,0
669,2,4,255
614,2,0,0
4,6,0,0
292,1,2,25
486,2,6,28
102,7,6,23
646,2,1,0
538,7,1,0
499,2,1,0
372,0,2,103
11,0,1,0
100,1,4,0
690,7,5,0
404,1,3,126
88,4,7,300
641,4,5,86
39,7,1,0
621,0,7,75
498,2,4,117
71,2,4,57
187,1,6,19
509,7,0,0
590,2,6,193
344,3,1,0
246,2,6,5
499,3,2,0
616,1,1,0
173,6,0,0
44,1,5,771
666,0,3,286
209,3,3,93
724,0,4,272
537,7,5,0
436,5,0,0
483,0,5,59
609,4,5,0
452,7,4,0
711,5,0,0
162,5,2,0
468,5,2,0
214,6,5,53
461,2,1,8
443,5,3,8
407,0,5,917
499,1,6,209
72,6,2,4
432,5,3,33
255,5,2,0
544,7,1,0
731,5,0,0
505,4,1,0
674,2,0,0
352,0,5,227
122,4,2,0
557,6,1,16
511,1,4,15
622,5,6,11
688,2,0,0
625,4,6,108
136,6,3,0
501,5,6,724
511,7,1,0
550,0,1,31
135,0,0,7
5,2,5,0
133,0,4,109
693,6,3,0
244,1,5,22
731,7,1,0
151,0,2,14
309,1,7,49
173,7,0,0
223,4,5,153
715,3,0,0
648,2,6,133
676,1,7,128
629,2,0,0
13,4,5,44
487,1,2,0
157,3,1,0
607,0,7,28
69,3,5,568
599,6,5,17
201,7,3,0
704,5,4,43
107,7,1,0
35,5,3,11
191,2,7,24
189,1,6,24
430,0,0,12
189,3,4,7
204,5,1,0
616,6,3,11
364,0,1,0
634,2,5,0
493,4,7,36
195,3,5,16
237,4,3,16
325,0,3,46
683,3,7,0
215,4,7,25
51,5,6,0
310,5,0,0
358,0,0,33
96,6,4,10
601,7,1,0
678,0,1,0
275,7,7,5
583,6,1,0
222,3,2,0
298,6,7,0
458,3,6,96
466,6,0,0
409,3,3,212
561,3,2,0
501,0,4,59
140,4,1,11
231,0,4,13
694,4,5,95
581,1,2,44
682,6,5,66
597,3,4,105
408,5,3,0
413,0,5,12
206,1,4,12
115,1,7,54
179,2,1,4
349,1,5,125
516,0,0,23
248,5,0,0
304,7,0,0
179,3,3,4
92,2,6,227
121,5,6,13
631,6,7,11
682,7,0,0
597,4,3,98
356,5,3,17
283,5,7,18
720,5,4,95
112,7,5,0
675,2,0,21
277,7,7,5
584,0,2,17
561,4,3,0
436,1,5,25
502,6,3,0
18,1,4,150
406,3,3,23
512,5,6,0
1,1,7,3
262,3,1,53
11,4,5,68
506,3,6,137
118,0,1,10
552,7,7,0
593,4,2,0
447,6,4,8
563,0,6,0
367,0,0,0
420,6,4,0
408,4,7,243
164,7,4,4
708,4,4,22
724,3,3,104
318,1,1,0
80,5,2,0
486,5,6,8
49,4,6,27
91,3,5,379
244,3,1,0
372,7,3,0
212,6,3,0
177,2,2,4
670,1,5,623
579,5,1,0
197,3,3,5
657,6,4,12
731,1,7,200
598,3,6,247
35,5,1,0
224,3,5,5
352,0,0,10
229,5,7,5
608,6,2,0
112,3,3,17
176,7,2,0
310,5,3,55
368,6,7,0
93,1,2,259
338,0,0,27
440,0,1,0
677,4,6,21
324,5,5,32
95,0,6,35
725,1,4,259
520,4,1,0
285,3,7,29
190,2,2,24
193,7,1,0
226,6,3,0
605,5,4,0
135,1,1,4
79,5,7,0
582,5,4,17
490,1,2,14
13,3,6,101
493,4,1,8
602,3,2,18
599,5,1,0
163,0,2,66
229,7,3,0
390,7,3,0
585,6,6,0
558,4,7,16
689,3,5,0
414,0,0,7
41,7,5,6
164,3,5,2232
153,1,4,55
301,0,5,104
589,2,1,0
680,6,0,0
210,7,3,0
508,6,7,9
633,3,2,19
238,0,4,16
2,5,3,0
175,4,1,0
335,6,3,0
37,6,1,0
217,4,2,0
9,0,4,570
626,3,5,273
571,5,1,0
183,0,4,15
551,2,4,120
498,1,2,86
114,4,5,33
626,2,2,116
331,3,7,71
36,3,1,3
729,4,4,132
274,6,4,9
424,3,3,70
575,1,4,152
104,4,4,0
515,1,5,9
82,0,0,12
360,5,5,50
513,6,1,0
133,1,3,331
647,7,2,0
50,4,7,3
437,1,0,0
410,3,7,51
427,4,3,31
292,4,6,92
273,5,6,0
10,7,4,0
198,6,7,0
686,0,4,0
451,2,3,40
602,7,6,18
445,6,5,13
177,4,0,0
622,1,5,92
554,3,5,326
113,3,3,37
76,4,1,0
1,4,0,0
73,5,3,0
212,6,4,20
405,1,4,23
229,5,4,0
501,4,5,81
106,2,6,29
477,6,3,8
595,3,4,122
12,1,6,60
458,4,0,0
310,4,1,6
509,0,4,29
150,3,7,4
679,5,4,0
631,1,2,19
290,0,5,0
437,0,1,0
453,2,2,13
221,4,4,21
680,6,2,0
675,4,0,21
122,6,3,0
104,1,7,13
532,3,7,95
200,6,2,0
632,0,1,0
460,4,3,77
94,4,4,28
35,5,0,0
677,2,7,66
709,4,6,35
588,1,6,0
201,7,4,0
447,4,2,0
363,5,7,0
579,2,3,115
168,3,6,177
138,7,7,11
657,6,1,0
44,3,6,1055
271,2,7,0
502,5,7,276
659,7,3,0
284,3,2,9
358,3,3,71
706,0,6,134
634,1,0,0
290,7,7,0
57,0,3,271
177,7,0,0
423,1,7,75
184,6,7,0
240,2,0,0
125,2,3,4
94,7,6,4
343,7,7,0
635,0,1,0
59,2,6,244
612,0,2,0
193,4,1,8
670,2,3,204
717,7,2,0
106,2,4,17
539,7,0,0
16,4,0,0
534,0,2,80
712,0,0,0
286,0,4,41
581,6,0,0
284,5,4,5
516,5,2,0
542,3,5,129
446,1,5,33
630,2,4,49
365,6,2,0
204,2,3,169
506,7,1,0
252,3,6,27
93,2,7,202
498,2,2,45
292,6,5,34
481,2,3,59
244,4,3,53
515,6,1,0
153,0,5,158
691,7,7,0
99,3,2,10
211,5,3,8
174,7,3,0
98,2,7,17
318,6,5,46
215,1,5,154
308,2,0,0
633,7,6,0
697,6,1,0
695,3,3,128
337,1,3,81
398,2,0,0
424,7,3,0
457,4,4,96
599,0,3,210
218,5,5,21
307,4,4,43
465,7,1,0
525,2,0,0
263,0,5,14
650,4,1,31
289,6,2,0
520,7,6,9
367,3,0,0
449,0,5,40
728,7,1,0
301,5,0,0
715,4,5,393
207,4,7,16
580,1,4,17
394,7,7,0
86,3,6,863
305,4,5,79
365,5,6,17
448,7,5,0
236,5,5,64
680,4,3,21
39,1,6,491
452,0,0,0
345,2,6,6
321,5,5,10
453,0,7,45
302,1,6,166
131,1,5,289
212,7,6,5
493,1,4,117
188,0,1,0
526,3,3,38
179,6,2,7
46,3,7,6
17,2,2,22
386,6,7,18
336,1,2,44
212,1,1,5
364,2,2,22
600,3,4,149
628,2,6,175
462,5,0,0
696,0,5,203
697,4,2,0
278,0,7,14
661,4,6,39
4,2,6,5
204,6,7,28
24,6,5,11
156,6,6,7
433,7,0,0
555,5,5,74
221,1,1,0
721,3,6,427
200,4,1,12
520,5,7,23
75,2,1,0
203,3,4,45
59,4,4,57
322,1,5,20
59,6,6,0
570,6,0,0
221,7,5,5
706,7,7,0
530,2,3,129
235,2,6,8
659,0,1,0
622,6,2,11
355,2,5,102
718,7,1,0
96,4,1,6
642,1,0,0
110,7,1,0
169,4,2,4
377,1,3,114
157,5,6,117
522,3,3,53
404,4,7,53
478,1,6,414
444,5,0,0
38,3,5,143
103,2,2,10
214,0,5,93
657,3,5,12
653,7,7,0
249,3,5,0
67,2,3,147
630,1,6,60
87,6,5,57
684,4,0,0
200,5,7,0
274,0,6,0
350,0,0,6
497,4,2,0
719,3,1,35
241,0,2,14
702,2,0,0
345,4,1,0
672,6,4,33
270,2,1,0
220,4,4,16
455,3,1,8
351,7,6,0
565,7,1,0
275,4,1,5
180,0,7,15
587,7,3,0
656,7,0,0
137,2,7,42
88,4,0,0
345,4,7,0
161,3,2,11
722,4,6,849
418,2,4,0
129,7,7,0
413,0,0,0
113,1,4,29
403,5,4,23
270,1,7,14
31,4,7,3
283,6,4,18
672,4,7,148
304,2,5,117
291,7,5,0
186,0,0,15
258,6,4,9
124,6,2,0
341,7,2,0
623,3,4,82
320,6,3,0
404,7,1,0
288,4,6,30
529,2,6,335
31,7,5,0
279,4,1,9
31,6,4,3
64,7,2,0
67,6,1,0
309,2,6,196
537,5,4,0
74,5,0,0
610,3,2,0
591,3,6,159
696,3,3,78
243,5,0,0
219,2,1,0
511,1,0,0
281,6,4,0
139,2,7,150
424,6,4,7
669,2,1,0
640,4,1,11
522,4,0,0
726,3,0,0
467,7,3,0
512,3,7,9
288,7,3,6
22,6,4,8
710,4,5,0
605,1,5,103
325,4,4,16
225,4,2,0
155,3,2,11
437,3,3,33
386,3,2,18
721,6,5,104
259,2,3,53
534,0,6,0
84,2,7,117
490,1,0,0
546,1,1,25
303,1,7,113
537,1,1,0
716,2,1,0
279,2,1,0
52,3,6,6
48,1,2,34
279,6,1,0
14,5,1,3
388,5,7,11
701,2,3,147
169,6,6,4
56,1,4,9
459,2,3,96
272,5,7,0
606,0,1,0
361,1,6,886
617,7,2,0
287,1,4,18
347,4,1,0
230,5,0,0
97,1,6,6
488,6,5,0
236,0,0,16
505,0,7,176
135,5,7,39
195,0,3,12
281,3,7,52
507,7,3,9
722,1,6,390
63,1,4,54
407,5,5,89
554,0,5,177
40,0,4,147
312,2,7,71
124,5,4,0
574,4,7,110
270,0,4,0
213,5,1,0
694,0,0,21
539,3,2,0
427,1,6,188
72,5,7,6
263,4,3,62
659,6,0,0
338,6,2,0
44,7,1,0
465,4,1,0
453,1,1,20
311,6,4,19
511,3,7,0
608,4,1,0
607,1,2,64
471,2,3,324
154,1,7,121
1,0,4,3
504,5,7,67
348,1,5,27
215,5,5,40
653,0,3,90
449,7,5,0
654,5,2,0
93,3,2,26
337,2,3,75
174,0,6,0
396,2,3,11
631,7,3,0
519,1,1,23
173,2,4,19
228,2,5,21
402,6,3,7
304,5,4,25
157,4,5,160
28,7,2,0
640,4,6,78
560,5,3,0
309,7,7,6
555,7,3,0
476,2,2,48
628,6,2,0
96,5,6,10
42,1,7,505
457,5,6,13
358,6,6,152
656,6,6,0
702,5,1,0
525,5,7,53
181,0,0,0
628,6,0,0
76,2,4,4
550,5,1,0
286,7,1,0
61,6,6,6
369,2,2,0
562,2,2,0
257,2,0,5
383,2,5,675
78,6,3,0
66,3,4,171
422,1,1,12
214,4,2,0
407,3,4,119
26,2,0,0
394,5,2,0
265,0,2,23
350,2,1,0
598,6,5,115
127,4,5,7
585,7,2,0
345,7,7,0
61,6,1,0
343,5,1,0
675,5,4,41
101,1,3,0
307,4,0,0
713,1,1,0
87,2,1,19
2,2,7,0
574,7,6,0
664,4,4,63
495,2,7,72
638,2,7,60
716,4,7,78
22,4,7,8
609,1,2,0
484,2,2,50
588,3,7,10
348,3,3,44
491,2,4,0
87,3,3,57
370,2,6,0
517,3,3,76
282,7,3,0
563,6,7,0
118,1,6,29
90,1,4,35
307,3,5,104
85,1,3,272
136,2,4,83
143,5,1,0
648,7,2,114
518,3,1,0
529,3,6,304
709,3,1,0
287,5,0,0
385,0,4,66
481,3,3,50
230,0,7,8
587,4,2,0
149,3,5,0
426,6,2,7
329,0,5,61
50,4,6,9
27,5,1,0
479,1,6,539
701,2,7,169
92,7,1,0
281,4,5,70
568,4,3,16
195,3,0,0
390,1,7,11
166,7,3,7
497,6,0,0
202,1,0,0
442,5,3,0
665,6,1,0
288,6,6,40
22,6,2,11
402,2,4,66
125,3,7,0
276,4,0,0
403,7,3,0
380,5,4,35
368,1,0,0
385,4,4,30
40,5,0,0
117,1,2,50
277,4,7,0
232,1,7,21
159,2,4,98
145,0,1,0
716,4,4,78
620,0,5,28
206,3,0,0
228,0,0,0
369,2,4,0
268,4,6,14
262,0,6,80
370,1,3,0
444,0,4,8
163,7,5,11
75,5,3,0
551,2,1,15
155,2,2,30
149,5,6,0
509,0,6,67
228,1,6,5
654,7,6,0
514,0,5,0
351,3,0,0
283,3,4,9
621,7,0,0
251,2,3,72
552,7,0,0
454,2,4,99
531,2,4,80
123,0,7,0
512,5,2,0
3,3,5,8
679,5,3,0
220,5,6,5
136,1,0,0
715,2,3,169
654,0,7,20
419,0,7,0
317,3,4,6
59,4,6,21
434,2,7,106
40,7,0,0
178,0,6,12
444,0,7,13
13,3,4,147
547,0,7,151
588,6,3,10
708,0,0,0
444,4,7,40
252,4,1,0
112,2,2,33
720,5,6,104
616,6,5,11
387,6,5,7
143,4,7,17
573,3,7,74
301,0,1,6
440,1,4,0
126,7,3,0
418,4,7,0
69,4,4,45
731,2,3,222
30,5,5,0
316,5,1,0
575,5,2,58
85,6,5,10
16,1,1,14
371,4,7,0
340,3,7,33
400,7,0,0
239,6,3,8
466,7,1,0
479,6,6,56
286,0,3,47
124,7,7,0
245,3,5,14
439,4,0,0
64,6,3,9
651,2,1,0
194,2,7,61
138,0,3,105
156,1,1,4
302,5,4,9
413,6,2,0
86,5,2,0
37,2,2,97
235,6,1,0
361,7,7,7
652,0,2,51
289,5,1,0
294,3,2,0
704,1,2,69
85,0,3,196
345,7,6,0
8,0,2,14
231,5,1,0
148,0,2,0
434,0,6,119
255,7,3,5
672,3,7,161
273,4,2,0
553,6,0,0
189,3,0,4
590,3,7,166
77,2,1,0
595,3,6,342
26,1,6,3
11,6,7,3
125,5,7,0
42,5,6,197
1,2,4,8
76,6,0,0
471,6,5,61
300,3,0,0
422,7,1,0
35,6,0,0
442,4,6,13
731,5,6,95
451,5,2,0
245,2,5,5
637,2,2,49
443,1,6,8
75,1,6,0
399,0,6,96
208,0,5,68
716,1,3,225
570,1,4,126
187,4,6,19
690,6,1,0
247,3,0,0
516,5,0,0
682,2,7,0
338,6,5,6
517,1,7,167
94,5,4,89
699,1,7,212
248,5,2,0
729,0,5,259
150,6,4,0
654,3,3,71
160,4,4,37
185,3,1,4
437,5,4,20
396,0,6,11
203,5,6,33
87,2,0,0
125,1,6,0
333,1,2,16
201,6,0,0
473,5,5,61
284,4,6,47
252,4,6,31
232,3,3,21
715,6,2,0
684,1,7,54
295,1,1,0
244,2,0,0
463,6,5,0
369,2,0,0
123,5,5,4
635,2,5,0
640,0,0,60
24,2,4,14
676,6,0,0
215,1,1,5
546,2,0,0
725,3,5,2051
633,6,6,0
542,3,3,71
58,2,4,274
493,7,5,8
74,7,2,4
445,1,2,25
658,1,3,0
345,6,7,0
408,0,3,43
189,1,5,38
319,2,7,10
54,4,4,3
146,5,4,11
118,0,5,29
598,1,5,186
197,5,1,0
397,7,0,0
627,0,5,86
610,5,3,0
715,0,4,156
464,4,3,48
476,4,1,13
415,0,3,24
621,3,4,82
255,1,5,80
683,3,0,0
704,0,1,22
177,4,1,0
488,5,7,0
494,2,1,0
205,7,7,0
688,0,6,54
465,1,3,0
410,2,3,164
632,6,1,0
458,6,0,0
641,2,0,0
70,7,6,6
518,1,4,53
431,3,2,63
535,0,3,25
5,3,1,0
550,2,5,350
581,2,7,98
255,6,6,67
653,7,4,0
371,7,6,7
102,2,2,0
586,5,4,0
240,5,7,17
650,5,5,51
192,7,0,0
716,1,4,182
134,0,2,143
289,2,2,83
371,1,4,0
356,1,4,87
233,2,2,8
656,5,2,0
622,0,5,28
435,2,0,0
602,2,2,36
616,5,4,57
278,3,4,23
182,1,7,15
247,1,0,0
670,7,0,0
190,2,5,62
14,4,0,0
33,4,4,298
103,0,5,0
436,5,2,25
399,6,1,7
241,1,0,0
485,3,7,8
29,6,1,0
209,1,1,5
194,0,1,8
479,5,2,0
340,1,1,10
441,2,1,0
366,5,6,11
616,2,4,75
402,1,7,126
439,4,7,0
593,5,7,54
691,3,4,12
593,4,0,17
35,2,0,0
117,6,5,6
161,1,4,44
472,7,6,21
141,7,4,13
2,4,4,0
329,3,4,32
616,7,5,11
571,6,2,0
210,2,6,149
465,6,6,0
488,2,5,0
44,6,1,0
375,2,6,92
611,5,6,0
468,3,2,13
562,2,6,10
712,0,5,13
651,5,1,0
84,0,7,284
42,5,0,3
376,5,4,50
440,7,5,0
496,6,5,14
55,0,0,6
19,4,7,22
379,3,6,114
629,0,3,86
529,4,5,144
419,5,7,0
538,0,7,0
363,3,6,210
45,3,3,37
154,0,0,4
549,5,4,31
129,1,0,0
96,2,6,40
153,5,2,7
314,3,2,20
386,5,6,23
730,7,5,45
588,6,1,0
297,6,6,6
233,2,1,0
113,0,7,13
195,3,1,0
537,6,4,9
293,7,0,0
678,7,3,0
213,1,7,65
118,4,7,27
265,1,4,5
520,3,1,38
469,1,0,13
398,4,0,0
293,2,1,0
255,7,4,5
149,5,1,0
316,7,1,0
526,6,7,9
727,2,5,2360
287,0,4,38
580,1,3,105
428,3,3,51
102,6,0,0
634,7,1,0
447,1,3,53
357,6,2,0
190,7,2,0
318,6,0,0
558,1,0,0
648,3,1,82
329,5,4,32
55,5,2,0
145,3,1,7
191,1,6,34
726,2,7,1402
649,2,2,71
21,1,6,734
383,6,6,192
71,3,6,94
329,3,7,20
147,4,7,7
678,4,7,12
450,2,3,66
404,2,1,7
508,7,1,0
465,2,4,13
335,6,2,16
121,1,6,28
604,1,6,82
128,2,3,94
549,0,2,25
97,1,1,0
139,7,3,0
271,6,3,0
189,6,0,0
48,6,5,9
144,1,6,25
79,4,1,0
114,3,1,4
147,6,5,0
648,7,6,39
127,2,3,7
57,2,1,0
625,6,3,11
500,6,7,14
731,3,1,82
352,5,0,0
635,5,1,0
718,6,3,22
600,0,6,185
586,7,7,0
421,4,5,39
711,4,4,0
316,2,5,83
610,2,7,0
509,4,7,29
269,2,7,14
220,4,5,37
26,7,4,0
651,1,7,71
504,5,3,29
640,6,7,11
566,4,7,26
32,2,1,6
548,0,0,65
415,2,6,24
135,1,5,98
438,1,3,53
206,2,6,76
610,6,4,0
373,2,0,0
688,5,2,0
594,4,7,291
217,0,0,8
159,4,1,197
79,5,5,0
287,4,6,23
514,7,1,0
139,3,6,1024
413,2,3,24
435,3,3,58
276,4,5,32
589,2,4,122
1,4,3,51
356,5,1,0
116,7,7,60
3,5,4,0
53,3,1,0
258,5,6,311
460,7,4,27
231,7,7,0
105,2,4,23
536,5,6,0
52,7,5,3
246,4,3,9
57,1,3,397
182,0,7,12
322,4,4,6
250,5,0,0
529,1,0,0
693,3,0,0
298,0,5,0
77,4,7,0
416,7,7,0
506,0,1,9
459,0,5,56
636,7,4,0
669,3,2,0
616,2,6,82
459,5,1,13
21,1,3,38
214,4,1,0
616,0,1,11
116,1,4,10
455,1,7,91
314,5,2,20
3,0,4,0
623,5,7,57
414,0,2,19
108,5,1,10
170,0,5,0
99,3,6,23
46,6,5,14
245,5,0,0
162,7,5,7
76,6,3,0
393,4,2,0
596,0,1,27
584,0,6,0
288,1,0,0
402,0,7,101
668,0,4,165
207,2,1,0
583,2,4,0
118,7,2,0
408,6,3,7
210,3,6,290
609,0,3,0
618,6,2,11
731,2,7,154
4,6,5,5
172,5,1,0
50,7,5,3
697,4,7,99
79,6,2,0
698,2,1,0
422,3,2,24
310,0,7,215
130,3,5,139
369,4,2,0
622,0,1,18
682,4,2,0
719,0,1,35
526,0,3,161
497,2,3,109
452,6,4,33
107,5,6,6
212,5,2,12
21,4,7,17
445,2,4,13
524,6,4,9
202,3,6,8
47,5,1,0
727,5,6,767
64,6,6,19
161,7,5,7
320,5,0,0
577,4,3,132
368,5,5,11
179,3,6,27
580,4,1,27
395,2,3,0
152,1,3,91
557,5,1,10
89,3,5,98
119,4,1,6
31,5,3,0
565,2,1,0
23,2,1,0
305,5,2,0
50,5,2,0
674,3,6,247
45,2,5,421
501,1,1,8
183,5,2,7
683,4,7,0
288,2,0,0
131,6,5,28
424,5,0,0
486,0,6,36
175,0,7,24
91,7,2,0
542,3,4,104
274,2,0,0
572,2,3,94
728,0,0,59
477,5,2,0
